Name,Year,Build,Cores,Threads,Base,Turbo,Cache,Memory capacity,PCIe,TDP
Quad AMD Opteron 6386 SE,2012 Q4,32 nm,64,64,2.8,3.5,64,2048,64.0,560
Quad AMD Opteron 6276,2011 Q4,32 nm,64,64,2.3,3.2,64,128,64.0,460
Dual AMD Opteron 6386 SE,2012 Q4,32 nm,32,32,2.8,3.5,32,1024,32.0,280
Dual AMD Opteron 6328,2012 Q4,32 nm,16,16,3.2,3.8,32,1024,32.0,230
Dual AMD Opteron 6276,2011 Q4,32 nm,32,32,2.3,3.2,32,64,32.0,230
Dual AMD EPYC 7H12,2019 Q3,7 nm,128,256,2.6,3.3,512,8000,256.0,560
Dual AMD EPYC 7742,2019 Q3,7 nm,128,256,2.25,3.4,512,8000,256.0,450
Dual AMD EPYC 7702,2019 Q3,7 nm,128,256,2.0,3.35,512,8000,256.0,400
Dual AMD EPYC 7642,2019 Q3,7 nm,96,192,2.3,3.3,512,8000,256.0,450
Dual AMD EPYC 7601,2017 Q2,14 nm,64,128,2.2,3.2,128,4000,256.0,360
Dual AMD EPYC 7551,2017 Q2,14 nm,64,128,2.0,3.0,128,4000,256.0,360
Dual AMD EPYC 7542,2019 Q3,7 nm,64,128,2.9,3.4,256,8000,256.0,450
Dual AMD EPYC 7502,2019 Q3,7 nm,64,128,2.5,3.35,256,8000,256.0,360
Dual AMD EPYC 7452,2019 Q3,7 nm,64,128,2.35,3.35,256,4000,256.0,310
Dual AMD EPYC 7371,2018 Q4,14 nm,32,64,3.1,3.8,128,4000,256.0,400
AMD Ryzen Threadripper PRO 3995WX,2020 Q3,7 nm FinFET,64,128,2.7,4.2,256,2000,128.0,280
AMD Ryzen Threadripper PRO 3975WX,2020 Q3,7 nm FinFET,32,64,3.5,4.2,128,2000,128.0,280
AMD Ryzen Threadripper PRO 3955WX,2020 Q3,7 nm FinFET,16,32,3.9,4.3,64,2000,128.0,280
AMD Ryzen Threadripper PRO 3945WX,2020 Q3,7 nm FinFET,12,24,4.0,4.3,64,2000,128.0,280
AMD Ryzen Threadripper 5990X,2021 Q2,7 nm EUV,64,128,3.0,4.5,256,1000,64.0,280
AMD Ryzen Threadripper 5970X,2021 Q2,7 nm EUV,32,64,3.8,4.7,128,512,64.0,280
AMD Ryzen Threadripper 5960X,2021 Q2,7 nm EUV,24,48,3.9,4.7,128,512,64.0,280
AMD Ryzen Threadripper 3990X,2020 Q1,7 nm FinFET,64,128,2.9,4.3,256,1000,64.0,280
