Name,Year,Build,Cores,Threads,Base,Turbo,Cache,Memory capacity,PCIe,TDP
Quad Intel Xeon Platinum 8380HL,2020 Q2,14 nm++,112,224,2.9,4.3,154.0,18000.0,192.0,1000
Quad Intel Xeon Platinum 8180M,2017 Q3,14nm+,112,224,2.5,3.8,154.0,6000.0,192.0,820
Quad Intel Xeon Platinum 8180,2017 Q3,14 nm+,112,224,2.5,3.8,154.0,3072.0,192.0,820
Quad Intel Xeon Platinum 8168,2017 Q3,14 nm+,96,192,2.7,3.7,132.0,3072.0,192.0,820
Quad Intel Xeon E7-8895 v2,2014 Q1,22 nm,60,120,2.8,3.6,150.0,6000.0,128.0,620
Octa Intel Xeon Platinum 8380HL,2020 Q2,14 nm++,224,448,2.9,4.3,308.0,36000.0,384.0,2000
Octa Intel Xeon Platinum 8168,2017 Q3,14 nm+,192,384,2.7,3.7,264.0,6144.0,384.0,1640
Octa Intel Xeon E7-8895 v2,2014 Q1,22 nm,120,240,2.8,3.6,300.0,12000.0,256.0,1240
Intel Xeon X5690,2011 Q1,32 nm,6,12,3.46,3.73,12.0,288.0,36.0,130
Intel Xeon X5675,2011 Q1,32 nm,6,12,3.06,3.46,12.0,288.0,36.0,95
Intel Xeon X5670,2010 Q1,32 nm,6,12,2.93,3.33,12.0,288.0,36.0,95
Intel Xeon X5570,2009 Q1,45 nm,4,8,2.93,3.33,8.0,144.0,36.0,95
Intel Xeon W3520,2009 Q1,45 nm,4,8,2.66,2.93,8.0,24.0,16.0,130
Intel Xeon W-3275M,2019 Q2,14 nm++,28,56,2.5,4.4,38.5,2000.0,64.0,205
Intel Xeon W-3275,2019 Q2,14 nm++,28,56,2.5,4.4,38.5,1000.0,64.0,205
Intel Xeon W-3265,2019 Q2,14 nm++,24,48,2.7,4.4,33.0,1000.0,64.0,205
Intel Xeon W-3245,2019 Q2,14 nm++,16,32,3.2,4.4,22.0,1000.0,64.0,205
Intel Xeon W-3235,2019 Q2,14 nm++,12,24,3.3,4.4,19.25,1000.0,64.0,180
Intel Xeon W-3223,2019 Q2,14 nm++,8,16,3.5,4.0,16.5,1000.0,64.0,160
Intel Xeon W-3175X,2019 Q1,14 nm++,28,56,3.1,4.3,38.5,512.0,48.0,255
Intel Xeon W-2295,2019 Q4,14 nm++,18,36,3.0,4.6,24.75,1000.0,48.0,165
Intel Xeon W-2245,2019 Q4,14 nm++,8,16,3.9,4.5,16.5,1000.0,48.0,155
Intel Xeon W-2195,2017 Q3,14 nm+,18,36,2.3,4.3,24.75,512.0,48.0,140
