Name,Year,Build,Cores,Threads,Base,Turbo,Cache,Memory capacity,TDP
MediaTek MT8783,2015 Q3,28 nm HPM,8,8,1.3,1.3,2.0,4,5
MediaTek MT8768,2020 Q2,12 nm,8,8,1.8,2.3,1.0,4,10
MediaTek MT8735,2015 Q2,28 nm HPM,4,4,1.3,1.3,1.0,4,5
MediaTek MT8321,2014 Q2,28 nm HPM,4,4,1.3,1.3,1.0,1,5
MediaTek MT8183,2019 Q4,12 nm,8,8,1.6,2.0,1.0,4,10
MediaTek MT8176,2016 Q1,28 nm HPM,6,6,1.6,2.0,1.0,4,10
MediaTek MT8173C,2018 Q3,28 nm HPM,4,4,1.6,2.0,1.0,4,10
MediaTek MT8173,2018 Q1,28 nm HPM,4,4,1.6,2.0,1.0,4,10
MediaTek MT8168,2020 Q2,12 nm,4,4,2.0,2.0,1.0,4,10
MediaTek MT8163VB,2015 Q2,28 nm HPM,4,4,1.3,1.3,0.512,2,0
MediaTek MT8163VA,2015 Q2,28 nm HPM,4,4,1.5,1.5,0.512,2,0
MediaTek MT6889Z Dimensity 1000+,2020 Q2,7 nm N7,8,8,2.0,2.6,2.0,16,10
MediaTek MT6889 Dimensity 1000,2020 Q1,7 nm,8,8,2.0,2.6,2.0,16,10
MediaTek MT6885Z Dimensity 1000L,2020 Q1,7 nm,8,8,2.0,2.2,2.0,16,10
MediaTek MT6875 Dimensity 820 5G,2020 Q2,7 nm N7,8,8,2.0,2.6,2.0,16,10
MediaTek MT6873V Dimensity 800 5G,2020 Q2,7 nm N7,8,8,2.0,2.0,2.0,16,10
MediaTek MT6853V Dimensity 720 5G,2020 Q3,7 nm N7,8,8,2.0,2.6,2.0,16,10
MediaTek MT6799 Helio X30,2017 Q2,10 nm FF,10,10,1.9,2.6,2.0,8,5
MediaTek MT6797X Helio X27,2015 Q4,20 nm HPM,10,10,1.6,2.6,2.0,4,5
MediaTek MT6797T Helio X25,2015 Q4,20 nm SoC,10,10,1.55,2.5,2.0,4,5
MediaTek MT6797D Helio X23,2017 Q1,20 nm SoC,10,10,1.4,2.3,2.0,4,5
MediaTek MT6797 Helio X20,2015 Q4,20 nm HPM,10,10,1.4,2.1,2.0,6,5
MediaTek MT6795 Helio X10,2014 Q4,20 nm HPM,8,8,2.0,2.0,2.0,4,5
MediaTek MT6785V Helio G90T,2019 Q3,12 nm HPM,8,8,2.0,2.05,2.0,8,5
MediaTek MT6785T Helio G90T,2020 Q1,12 nm HPM,8,8,2.0,2.05,2.0,8,5
MediaTek MT6785 Helio G90,2019 Q3,12 nm FFC,8,8,2.0,2.05,2.0,8,5
MediaTek MT6779 Helio P90,2019 Q1,12 nm FinFET+,8,8,2.0,2.2,2.0,8,5
MediaTek MT6771V Helio P70,2019 Q4,12 nm HPM,8,8,2.0,2.1,2.0,8,5
MediaTek MT6771V Helio P60,2019 Q1,12 nm HPM,8,8,2.0,2.0,2.0,8,5
