CPU,cpu_cores,cpu_threads,cpu_basespeed,cpu_turbospeed
Intel Celeron N4000,2,2,1.1,2.6
Intel Celeron N3350,2,2,1.1,2.4
MediaTek MT8183,8,8,1.6,2
MediaTek MT8173C,4,4,1.6,2
MediaTek MT8173,4,4,1.6,2
Intel Celeron N3060,2,2,1.6,2.48
Intel Celeron N4020,2,2,1.1,2.8
MediaTek MT8173C,4,4,1.6,2
Intel Celeron N3160,4,4,1.6,2.24
Intel Pentium Silver N5000,4,4,1.1,2.7
Intel Celeron N3050,2,2,1.6,2.16
AMD 3020e,2,2,1.2,2.6
Intel Atom x5-Z8550,4,4,1.44,2.4
AMD A4-9120C,2,2,1.6,2.4
Intel Atom x5-E8000,4,4,1.04,1.04
AMD A4-9120C,2,2,1.6,2.4
AMD A4-9120,2,2,2.2,2.5
Intel Pentium Silver N5030,4,4,1.1,3.1
Intel Core i3-7020U,2,4,2.3,2.3
MediaTek Helio P60T,8,8,2,2
Intel Celeron N2840,2,2,1.6,2.58
Intel Core i3-1005G1,2,4,1.2,3.4
Intel Celeron N3450,4,4,1.1,2.2
Intel Celeron N4120,4,4,1.1,2.6
Intel Core i5-7200U,2,4,2.5,3.1
Intel Pentium N4200,4,4,1.1,2.5
Intel Pentium Gold 5405U,2,4,2.3,2.3
AMD Ryzen 3 3250U,2,4,2.6,3.5
AMD Ryzen 3 3200U,2,4,2.6,3.5
AMD Ryzen 5 2500U,4,8,2,3.6
AMD Athlon Silver 3050U,2,2,2.3,3.2
AMD A6-9220C,2,2,1.8,2.7
Intel Celeron N3150,4,4,1.6,2.08
AMD A6-9225,2,2,2.6,3
Intel Core m3-8100Y,2,4,1.1,3.4
Intel Pentium Gold 6405U,2,4,2.4,2.4
AMD A6-9220C,2,2,1.8,2.7
AMD A6-9220,2,2,2.5,2.9
AMD A9-9420e,2,2,1.8,2.7
Intel Core i7-8550U,4,8,1.8,4
Intel Core i7-1065G7,4,8,1.3,3.9
Intel Core i3-7100U,2,4,2.4,2.4
Intel Core i3-10110U,2,4,2.1,4.1
AMD A9-9425,2,2,3.1,3.7
Intel Celeron N4100,4,4,1.1,2.4
Intel Core i3-6100U,2,4,2.3,2.3
Intel Core i3-8130U,2,4,2.2,3.4
AMD Ryzen 5 3500U,4,8,2.1,3.7
AMD Ryzen 3 2300U,4,4,2,3.4
AMD A9-9420e,2,2,1.8,2.7
Intel Pentium Gold 4425Y,2,4,1.7,1.7
AMD A4-9125,2,2,2.3,2.6
Intel Core i3-6006U,2,4,2,2
AMD Athlon Gold 3150U,2,4,2.4,3.3
Intel Core i5-1035G4,4,8,1.1,3.7
Intel Pentium N3700,4,4,1.6,2.4
Intel Core i3-4005U,2,4,1.7,1.7
Intel Core i3-8145U,2,4,2.1,3.9
AMD A8-7410,4,4,2.2,2.5
Intel Core i5-1035G1,4,8,1,3.6
Intel Core i3-5005U,2,4,2,2
Intel Core i5-4210U,2,4,1.7,2.7
Intel Core i5-8265U,4,8,1.6,3.9
Intel Atom x5-Z8350,4,4,1.44,1.92
Intel Atom x5-Z8300,4,4,1.44,1.84
AMD Ryzen 3 2200U,2,4,2.5,3.4
Intel Core i5-8250U,4,8,1.6,3.4
Intel Core i5-5200U,2,4,2.2,2.7
Intel Core i5-10210U,4,8,1.6,4.2
AMD Ryzen 5 4500U,6,6,2.3,4
Intel Core i5-9300H,4,8,2.4,4.1
Intel Core i5-10300H,4,8,2.5,4.5
Intel Core i7-7700HQ,4,8,2.8,3.8
Intel Core i7-9750H,6,12,2.6,4.5
Intel Core i7-10510U,4,8,1.8,4.9
AMD Ryzen 5 4600HS,6,12,3,4
AMD Ryzen 5 4600H,6,12,3,4
AMD Ryzen 7 3750H,4,8,2.3,4
Intel Core i5-8300H,4,8,2.3,4
Intel Core i7-6700HQ,4,4,2.6,3.5
Intel Core i7-10750H,6,12,2.6,5
Intel Core i7-8750H,6,12,2.2,4.1
AMD Ryzen 7 4700U,8,8,2,4.1
Intel Core i5-8350U,4,8,1.7,3.6
Intel Core i5-6300U,2,4,2.4,3
AMD Ryzen 7 4800HS,8,16,2.9,4.2
AMD Ryzen 7 4800H,8,16,2.9,4.2
Intel Core i5-7300HQ,4,4,2.5,3.5
Intel Core i7-8565U,4,8,1.8,4.6
Intel Core i7-9850H,6,12,2.6,4.6
AMD Ryzen 7 2700U,4,8,2.2,3.8
Intel Core i7-7500U,2,4,2.7,3.5
AMD Ryzen 7 3700U,4,8,2.3,4
Intel Core i5-7300U,2,4,2.6,3.5
Intel Core i5-8365U,4,8,1.6,4.1
Intel Core i7-8665U,4,8,1.9,4.8
Intel Core i7-7600U,2,4,2.8,3.9
AMD Ryzen 5 3550H,4,8,2.1,3.7
Intel Core i7-6820HQ,4,8,2.7,3.6
Intel Core i5-10310U,4,8,1.7,4.4
Intel Core i7-8650U,4,8,1.9,4.2
Intel Core i5-6200U,2,4,2.3,2.8
AMD Ryzen 7 4800HS,8,16,2.9,4.2
Intel Core i7-10610U,4,8,1.8,4.9
Intel Core i5-1035G7,4,8,1.2,3.7
Intel Core i7-8500Y,2,4,1.5,4.2
Intel Core i5-5300U,2,4,2.3,2.9
Intel Core i5-9400H,4,8,2.5,4.3
Intel Core i7-10875H,8,16,2.3,5.1
AMD Ryzen 5 3580U,4,8,2.1,3.7
Intel Core i7-10710U,6,12,1.1,4.7
Intel Core i7-4700MQ,4,8,2.4,3.4
Intel Core i7-5600U,2,4,2.6,3.2
Intel Core m3-6Y30,2,4,0.9,2.4
Intel Core i7-6500U,2,4,2.5,3.1
Intel Core i9-10980HK,8,16,2.4,5.3
Intel Core i7-8850H,6,12,2.6,4.3
Intel Core i7-6600U,2,4,2.6,3.4
Intel Core i9-8950HK,6,12,2.9,4.8
AMD Ryzen 9 4900HS,8,16,3,4.3
Intel Core i5-1038NG7,4,8,2,3.8
Intel Core i5-6300HQ,4,4,2.3,3.2
Intel Core i7-8706G,4,8,3.1,4.1
Intel Core i7-10850H,6,12,2.7,5.1
Intel Core i9-9880H,8,16,2.3,4.8
AMD Ryzen 9 4900HS,8,16,3,4.3
AMD Ryzen 9 4900H,8,16,3.3,4.4
Intel Core i7-9700KF,8,8,3.6,4.9
Intel Core i7-9700K,8,8,3.6,4.9
Intel Core i9-9980HK,8,16,2.4,5
Intel Core i5-8200Y,2,4,1.3,3.9
Intel Core m3-7Y30,2,4,1,2.6
AMD Ryzen 7 PRO 2700U,4,8,2.2,3.8
Intel Core i7-5500U,2,4,2.4,3
AMD Ryzen 5 PRO 3500U,4,8,2.1,3.7
AMD A6-9220e,2,2,1.6,2.4
AMD A4-6210,4,4,1.8,1.8
AMD A4-9120e,2,2,1.5,2.2
Intel Celeron N2830,2,2,2.16,2.41
Intel Atom Z3735F,4,4,1.33,1.83
AMD A12-9720P,4,4,2.7,3.6
Intel Celeron 3205U,2,2,1.5,1.5
Intel Atom Z3775,4,4,1.46,2.39
Intel Celeron 3855U,2,2,1.6,1.6
Intel Atom x7-Z8700,4,4,1.6,2.4
Intel Celeron 4205U,2,2,1.8,1.8
Intel Celeron N2940,4,4,1.83,2.25
Intel Pentium N3710,4,4,1.6,2.56
AMD A10-7300,4,4,1.9,3.2
Qualcomm Snapdragon 835,8,8,2.45,2.45
AMD A6-9200,2,2,2,2.8
Intel Pentium 4405U,2,4,2.1,2.1
Intel Pentium 4417U,2,4,2.3,2.3
AMD Ryzen 3 PRO 2300U,4,4,2,3.4
AMD E1-6010,2,2,1.4,1.4
AMD A12-9700P,4,4,2.5,3.4
Intel Core i3-5020U,2,4,2.2,2.2
Intel Core i5-4210M,2,4,2.6,3.2
Intel Core i3-7130U,2,4,2.7,2.7
Intel Core i7-7Y75,2,4,1.3,3.6
Intel Core i5-8400H,4,8,2.5,4.2
AMD A9-9410,2,2,2.9,3.5
Intel Core i7-6560U,2,4,2.2,3.2
Intel Core i7-7820HQ,4,8,2.9,3.9
Intel Core i7-7560U,2,4,2.4,3.8
Intel Core m7-6Y75,2,4,1.2,3.1
Intel Core i5-6440HQ,4,4,2.6,3.5
Intel Core i7-7660U,2,4,2.5,4
Intel Core i7-10810U,6,12,1.1,4.9
Intel Xeon E3-1505M v6,4,8,3,4
Intel Core i7-4720HQ,4,8,2.6,3.6
Intel Core i7-7820HK (@ 3.8GHz),4,8,2.9,3.9
Intel Core i7-8705G,4,8,3.1,4.1
Intel Xeon E3-1535M v6,4,8,3.1,4.2
Intel Core i7-7820HK,4,8,2.9,3.9
Intel Xeon E-2176M,6,12,2.7,4.4
Intel Core i9-10885H,8,16,2.4,5.3
Intel Core i7-10870H,8,16,2.2,5
Intel Xeon E3-1505M v5,4,8,2.8,3.7
Intel Xeon W-10855M,6,12,2.8,5.1
Intel Core i7-4702MQ,4,8,2.2,3.2
Intel Xeon E-2276M,6,12,2.8,4.7
Intel Pentium 4415Y,2,4,1.6,1.6
AMD FX-7500,4,4,2.1,3.3
Intel Core M-5Y71,2,4,1.2,2.9
Intel Core M-5Y10a,2,4,0.8,2
Intel Core i5-7Y54,2,4,1.2,3.2
