Model,Architecture,Pixel Shaders,Vertex Shaders,Core speed,Boost / Turbo,Memory Speed,Memory Bus,Memory Type
,,,,,,,,
NVIDIA GeForce RTX 3080 Mobile,Ampere,5888,,,,,256,GDDR6
NVIDIA Quadro RTX 6000 (Laptop),Turing,4608,,,,14000,384,GDDR6
NVIDIA GeForce RTX 3070 Mobile,Ampere,0,,,,,256,GDDR6
NVIDIA GeForce RTX 2080 Super Mobile,Turing,3072,,1365,1560,14000,256,GDDR6
NVIDIA GeForce RTX 2080 Mobile,Turing,2944,,1380,1590,14000,256,GDDR6
NVIDIA GeForce GTX 1080 SLI (Laptop),Pascal,5120,,1556,1733,10000,256,GDDR5
NVIDIA GeForce GTX 1070 SLI (Laptop),Pascal,4096,,1443,1645,8000,256,GDDR5
NVIDIA Quadro RTX 5000 (Laptop),Turing,3072,,1035 / 1350,1545 / 1770,14000,256,GDDR6
NVIDIA GeForce RTX 3060 Mobile,Ampere,0,,,,,256,GDDR6
NVIDIA GeForce RTX 2070 Super Mobile,Turing,2560,,1140,1380,14002,256,GDDR6
NVIDIA GeForce RTX 2080 Super Max-Q,Turing,3072,,975,1230,11000,256,GDDR6
NVIDIA Quadro RTX 5000 Max-Q,Turing,3072,,600 - 930,1350 - 1455,14000,256,GDDR6
NVIDIA GeForce RTX 2080 Max-Q,Turing,2944,,735-990,1095-1230,12000,256,GDDR6
NVIDIA GeForce RTX 2070 Mobile,Turing,2304,,1215,1440,14000,256,GDDR6
NVIDIA GeForce GTX 1080 Mobile,Pascal,2560,,1566,1733,10000,256,GDDR5X
NVIDIA Quadro RTX 4000 (Laptop),Turing,2560,,1110,1560,14000,256,GDDR6
NVIDIA GeForce RTX 2070 Super Max-Q,Turing,2560,,930,1155,11000,256,GDDR6
NVIDIA Quadro RTX 4000 Max-Q,Turing,2560,,780 - 960,1380 - 1485,14000,256,GDDR6
NVIDIA GeForce RTX 2070 Max-Q,Turing,2304,,885-1080,1185-1305,12000,256,GDDR6
NVIDIA GeForce GTX 980 SLI (Laptop),Maxwell,4096,,1126,1228,3500,256,GDDR5
NVIDIA Quadro P5200,Pascal,2560,,1316,1569,7216,256,GDDR5
NVIDIA Quadro RTX 3000 (Laptop),Turing,1920,,945,1380,14000,192,GDDR6
NVIDIA GeForce RTX 2060 Mobile,Turing,1920,,960,1200,14000,192,GDDR6
NVIDIA Quadro RTX 3000 Max-Q,Turing,1920,,600 - 870,1215 - 1380,14000,192,GDDR6
NVIDIA GeForce GTX 1080 Max-Q,Pascal,2560,,1101 - 1290,1278 - 1468,10000,256,GDDR5X
NVIDIA GeForce GTX 1070 Mobile,Pascal,2048,,1443,1645,8000,256,GDDR5
