NAME,CPU,GPU,DISPLAY,STORAGE,RAM,WEIGHT,PRICE,URL
ASUS VivoBook E12 E203,Intel Celeron N4000,Intel UHD Graphics 600,"11.6”, HD (1366 x 768), TN",32GB SSD,2GB,0.98 kg (2.2 lbs),158,
Lenovo Ideapad 120S 14,Intel Celeron N3350,Intel HD Graphics 500 (Apollo Lake),"14.0”, HD (1366 x 768), TN",32GB SSD,2GB RAM,1.44 kg (3.2 lbs),179,
Dell Latitude 11 3189,Intel Celeron N3350,Intel HD Graphics 500 (Apollo Lake),"11.6”, HD (1366 x 768), TN",64GB SSD,4GB DDR3,1.44 kg (3.2 lbs),235,
HP Chromebook 11 (11a-na0021nr),Mediatek MT8183,ARM Mali-G72 MP3,"11.6”, HD (1366 x 768), TN",32GB SSD,"4GB LPDDR4x, 3200 MHz",1.70 kg (3.7 lbs),219.99,
Lenovo Chromebook S330,Mediatek MT8173,Imagination PowerVR GX6250,"14.0”, HD (1366 x 768), TN",32GB SSD,4GB DDR4,1.45 kg (3.2 lbs),289.99,
HP Chromebook 11 G6 EE,Intel Celeron N3350,Intel HD Graphics 500 (Apollo Lake),"11.6”, HD (1366 x 768), IPS",32GB SSD,"4GB LPDDR4, 2400 MHz",1.24 kg (2.7 lbs),290,
Samsung Chromebook 4 (XE310XBA),Intel Celeron N4000,Intel UHD Graphics 600,"11.6”, HD (1366 x 768), TN",32GB SSD,4GB LPDDR4,1.18 kg (2.6 lbs),252.99,
HP Chromebook 11 G6 EE,Intel Celeron N3350,Intel HD Graphics 500 (Apollo Lake),"11.6”, HD (1366 x 768), TN",32GB SSD,4GB DDR4,1.24 kg (2.7 lbs),285.9,
HP Stream 11 (11-ak0020nr),Intel Celeron N4000,Intel UHD Graphics 600,"11.6”, HD (1366 x 768), TN",32GB SSD,"4GB DDR3, 1600 MHz",1.07 kg (2.4 lbs),263,
HP Chromebook 11 (11-v000nr),Intel Celeron N3060,Intel HD Graphics 400 (Braswell),"11.6”, HD (1366 x 768), TN",16GB SSD,"2GB LPDDR3, 1600 MHz",1.14 kg (2.5 lbs),266.99,
HP Chromebook 14 (14-ca023nr),Intel Celeron N3350,Intel HD Graphics 500 (Apollo Lake),"14.0”, HD (1366 x 768), TN",32GB SSD,"4GB LPDDR4, 2400 MHz",1.54 kg (3.4 lbs),289.95,
Samsung Chromebook 4 (XE310XBA),Intel Celeron N4000,Intel UHD Graphics 600,"11.6”, HD (1366 x 768), TN",16GB SSD,"4GB LPDDR4, 2133 MHz",1.18 kg (2.6 lbs),269,
Acer Chromebook Spin 311 (CP311-2H-C679),Intel Celeron N4020,Intel UHD Graphics 600,"11.6”, HD (1366 x 768), IPS",32GB SSD,4GB LPDDR4,1.20 kg (2.6 lbs),269.99,
Acer Chromebook Spin 311,Intel Celeron N4020,Intel UHD Graphics 600,"11.6”, HD (1366 x 768), IPS",32GB SSD,4GB LPDDR4,1.20 kg (2.6 lbs),NOT AVAILABLE,
HP Chromebook 14 (14a-na),Intel Celeron N4000,Intel UHD Graphics 600,"14.0”, HD (1366 x 768), TN",32GB SSD,"4GB LPDDR4, 2400 MHz",1.46 kg (3.2 lbs),269.99,
ASUS Chromebook C423,Intel Celeron N3350,Intel HD Graphics 500 (Apollo Lake),"14.0”, HD (1366 x 768), TN",32GB SSD,4GB LPDDR4,1.22 kg (2.7 lbs),269.99,
Lenovo Ideapad 110S,Intel Celeron N3060,Intel HD Graphics 400 (Braswell),"11.6”, HD (1366 x 768), TN",32GB SSD,2GB DDR3,1.15 kg (2.5 lbs),269.99,
Lenovo ideapad 320 (15″),Intel Celeron N3350,Intel HD Graphics 500 (Apollo Lake),"15.6”, HD (1366 x 768), TN",1000GB HDD,4GB,2.20 kg (4.9 lbs),272,
Lenovo IdeaPad Slim 1 14,AMD A6-9220e,AMD Radeon R4,"14.0”, HD (1366 x 768), TN",64GB SSD,4GB DDR4,1.40 kg (3.1 lbs),UPCOMING,
Lenovo Ideapad 110S,Intel Celeron N3060,Intel HD Graphics 400 (Braswell),"11.6”, HD (1366 x 768), TN",32GB SSD,2GB RAM,1.15 kg (2.5 lbs),275,
Samsung Chromebook 4 (XE310XBA-K01US),Intel Celeron N4000,Intel HD Graphics 5000,"11.6”, HD (1366 x 768), TN",32GB SSD,4GB LPDDR4,1.18 kg (2.6 lbs),299,
HP Stream 11 (11-ak),Intel Celeron N4000,Intel UHD Graphics 600,"11.6”, HD (1366 x 768), TN",32GB SSD,4GB DDR4,1.07 kg (2.4 lbs),276.9,
ASUS Chromebook C223,Intel Celeron N3350,Intel HD Graphics 500 (Apollo Lake),"11.6”, HD (1366 x 768), TN",32GB SSD,4GB DDR4,1.00 kg (2.2 lbs),277,
HP Chromebook 11 G6 EE,Intel Celeron N3350,Intel HD Graphics 500 (Apollo Lake),"11.6”, HD (1366 x 768), TN",32GB SSD,4GB LPDDR2,1.24 kg (2.7 lbs),339,
HP 14 (14-dq0002dx),Intel Celeron N4020,Intel UHD Graphics 600,"14.0”, HD (1366 x 768), TN",64GB SSD,"4GB DDR4, 2400 MHz",1.46 kg (3.2 lbs),283.52,
HP Stream 14 (14-cb100),Intel Celeron N4000,Intel UHD Graphics 600,"14.0”, HD (1366 x 768), TN",64GB SSD,4GB DDR4,1.43 kg (3.2 lbs),285,
ASUS Chromebook C223,Intel Celeron N3350,Intel HD Graphics 500 (Apollo Lake),"11.6”, HD (1366 x 768), TN",16GB SSD,4GB DDR4,1.00 kg (2.2 lbs),288,
Lenovo IdeaPad Slim 1 14,AMD A6-9220e,AMD Radeon R4,"14.0”, HD (1366 x 768), TN",64GB SSD,4GB DDR4,1.40 kg (3.1 lbs),349,
ASUS Chromebook C202 (C202XA-YH02-BL),Mediatek MT8173c,Imagination PowerVR GX6250,"11.6”, HD (1366 x 768), TN",16GB SSD,4GB LPDDR3,1.20 kg (2.6 lbs),288.67,
Lenovo IdeaPad Slim 1 14,AMD A6-9220e,AMD Radeon R4,"14.0”, HD (1366 x 768), TN",64GB SSD,4GB DDR4,1.40 kg (3.1 lbs),316,
