,cpu_cores,cpu_threads,cpu_basespeed,cpu_turbospeed,gpu_basespeed,gpu_turbospeed,pixel_shaders,gpu_memory,memory_speed,price,ram,weight,inch,resolution,ssd
0,2.0,2.0,1.1,2.6,0.3,0.7,12.0,0.0,0.0,158.0,2.0,0.98,11.6,1.049088,32.0
1,2.0,2.0,1.1,2.6,0.3,0.7,12.0,0.0,0.0,252.0,4.0,1.18,11.6,1.049088,32.0
2,2.0,2.0,1.1,2.6,0.3,0.7,12.0,0.0,0.0,263.0,4.0,1.07,11.6,1.049088,32.0
3,2.0,2.0,1.1,2.6,0.3,0.7,12.0,0.0,0.0,269.0,4.0,1.18,11.6,1.049088,16.0
4,2.0,2.0,1.1,2.6,0.3,0.7,12.0,0.0,0.0,269.0,4.0,1.46,14.0,1.049088,32.0
5,2.0,2.0,1.1,2.6,0.3,0.7,12.0,0.0,0.0,276.0,4.0,1.07,11.6,1.049088,32.0
6,2.0,2.0,1.1,2.6,0.3,0.7,12.0,0.0,0.0,285.0,4.0,1.43,14.0,1.049088,64.0
7,2.0,2.0,1.1,2.6,0.3,0.7,12.0,0.0,0.0,289.0,4.0,1.18,11.6,1.049088,64.0
8,2.0,2.0,1.1,2.6,0.3,0.7,12.0,0.0,0.0,289.0,4.0,1.7,14.0,1.049088,64.0
9,2.0,2.0,1.1,2.6,0.3,0.7,12.0,0.0,0.0,292.0,4.0,0.98,11.6,1.049088,64.0
10,2.0,2.0,1.1,2.6,0.3,0.7,12.0,0.0,0.0,294.0,4.0,1.33,11.6,1.049088,16.0
11,2.0,2.0,1.1,2.6,0.3,0.7,12.0,0.0,0.0,296.0,4.0,1.46,14.0,1.049088,32.0
12,2.0,2.0,1.1,2.6,0.3,0.7,12.0,0.0,0.0,349.0,4.0,1.07,11.6,1.049088,64.0
13,2.0,2.0,1.1,2.6,0.3,0.7,12.0,0.0,0.0,299.0,4.0,0.98,11.6,1.049088,64.0
14,2.0,2.0,1.1,2.6,0.3,0.7,12.0,0.0,0.0,299.0,4.0,1.2,11.6,1.049088,16.0
15,2.0,2.0,1.1,2.6,0.3,0.7,12.0,0.0,0.0,299.0,4.0,0.99,11.6,1.049088,64.0
16,2.0,2.0,1.1,2.6,0.3,0.7,12.0,0.0,0.0,329.0,4.0,1.07,11.6,1.049088,32.0
17,2.0,2.0,1.1,2.6,0.3,0.7,12.0,0.0,0.0,299.0,4.0,1.07,11.6,1.049088,32.0
18,2.0,2.0,1.1,2.6,0.3,0.7,12.0,0.0,0.0,299.0,4.0,1.43,14.0,1.049088,32.0
19,2.0,2.0,1.1,2.6,0.3,0.7,12.0,0.0,0.0,299.0,4.0,1.46,14.0,2.0736,32.0
20,2.0,2.0,1.1,2.6,0.3,0.7,12.0,0.0,0.0,329.0,4.0,1.9,15.6,2.0736,32.0
21,2.0,2.0,1.1,2.6,0.3,0.7,12.0,0.0,0.0,308.0,4.0,1.46,11.6,1.049088,32.0
22,2.0,2.0,1.1,2.6,0.3,0.7,12.0,0.0,0.0,359.0,4.0,1.18,11.6,1.049088,32.0
23,2.0,2.0,1.1,2.6,0.3,0.7,12.0,0.0,0.0,349.0,4.0,1.07,11.6,1.049088,32.0
24,2.0,2.0,1.1,2.6,0.3,0.7,12.0,0.0,0.0,312.0,6.0,1.18,11.6,1.049088,64.0
25,2.0,2.0,1.1,2.6,0.3,0.7,12.0,0.0,0.0,314.0,4.0,1.07,11.6,1.049088,32.0
26,2.0,2.0,1.1,2.6,0.3,0.7,12.0,0.0,0.0,359.0,4.0,1.7,15.6,2.0736,64.0
27,2.0,2.0,1.1,2.6,0.3,0.7,12.0,0.0,0.0,315.0,4.0,1.43,14.0,1.049088,64.0
28,2.0,2.0,1.1,2.6,0.3,0.7,12.0,0.0,0.0,319.0,4.0,1.07,11.6,1.049088,64.0
29,2.0,2.0,1.1,2.6,0.3,0.7,12.0,0.0,0.0,319.0,4.0,1.45,14.0,1.049088,64.0
30,2.0,2.0,1.1,2.6,0.3,0.7,12.0,0.0,0.0,449.0,4.0,1.46,14.0,1.049088,32.0
31,2.0,2.0,1.1,2.6,0.3,0.7,12.0,0.0,0.0,319.0,4.0,1.43,14.0,1.049088,64.0
32,2.0,2.0,1.1,2.6,0.3,0.7,12.0,0.0,0.0,320.0,4.0,1.43,14.0,1.049088,32.0
33,2.0,2.0,1.1,2.6,0.3,0.7,12.0,0.0,0.0,321.0,4.0,1.43,14.0,1.049088,32.0
34,2.0,2.0,1.1,2.6,0.3,0.7,12.0,0.0,0.0,322.0,4.0,1.43,14.0,1.049088,64.0
35,2.0,2.0,1.1,2.6,0.3,0.7,12.0,0.0,0.0,325.0,4.0,0.98,11.6,1.049088,32.0
36,2.0,2.0,1.1,2.6,0.3,0.7,12.0,0.0,0.0,328.0,2.0,0.98,11.6,1.049088,32.0
37,2.0,2.0,1.1,2.6,0.3,0.7,12.0,0.0,0.0,369.0,4.0,1.18,11.6,1.049088,32.0
38,2.0,2.0,1.1,2.6,0.3,0.7,12.0,0.0,0.0,499.0,4.0,1.46,14.0,1.049088,32.0
39,2.0,2.0,1.1,2.6,0.3,0.7,12.0,0.0,0.0,439.0,4.0,1.46,14.0,1.049088,32.0
40,2.0,2.0,1.1,2.6,0.3,0.7,12.0,0.0,0.0,329.0,4.0,1.3,14.0,1.049088,64.0
41,2.0,2.0,1.1,2.6,0.3,0.7,12.0,0.0,0.0,329.0,4.0,1.3,14.0,1.049088,64.0
42,2.0,2.0,1.1,2.6,0.3,0.7,12.0,0.0,0.0,329.0,4.0,0.98,11.6,1.049088,64.0
